502.29 302.21 150.55 10024.63 
506.22 302.75 150.98 10028.09 
509.82 302.8 151.57 10034.56 
512.65 303.84 152.59 10084.39 
515.78 305.46 153.24 10161.2 
517.88 305.6 154.64 10227.1 
519.06 307.3 154.69 10228.37 
519.51 309.74 155.95 10276.91 
523.11 310.64 156.87 10369.7 
527.41 311.35 158.11 10380.94 
528.02 311.79 159.24 10460.55 
529.09 311.92 159.26 10463.66 
533.1 314.74 160.73 10518.88 
536.05 316.56 161.97 10618.05 
540.57 318.57 162.18 10656.02 
543.8 321.51 162.4 10665.05 
545.31 323.51 163.6 10724.12 
547.79 326.09 164.51 10757.27 
548.71 326.43 165.1 10784.71 
552.24 327.38 165.38 10808.1 
556.16 328.17 166.82 10863.57 
560.57 328.51 168.12 10919.66 
563.69 329.47 168.45 10925.73 
565.71 330.45 168.73 10981.15 
566.11 333.42 169.6 11030.11 
568.9 335.35 169.88 11111.7 
570.42 338.29 170.21 11177.45 
575.14 339.09 171.36 11230.58 
577.18 340.56 171.83 11244.28 
577.74 342.09 172.64 11300.88 
577.77 343.53 173.64 11378.37 
578.8 344.68 174.91 11421.95 
582.21 347.45 175.46 11508.06 
585.89 349.87 175.56 11522.93 
588.51 350.23 175.8 11583.77 
590.14 353.04 177.04 11668.39 
594.1 353.84 177.29 11689.95 
596.11 355.87 178.74 11700.8 
600.29 357.78 179.34 11788.81 
604.2 359.94 179.63 11866.0 
608.8 360.65 180.85 11902.2 
610.22 362.81 181.12 11931.17 
610.56 364.78 181.72 11934.5 
614.89 367.64 182.44 12024.39 
615.63 369.84 183.01 12059.7 
616.13 372.57 183.66 12081.86 
616.5 374.58 184.19 12130.84 
619.62 376.07 185.28 12154.45 
622.55 378.51 185.75 12210.61 
626.39 381.34 187.09 12305.78 
626.64 383.59 187.49 12398.88 
630.65 383.7 188.38 12441.73 
633.69 384.4 189.14 12443.12 
634.45 386.87 189.7 12448.1 
637.86 386.95 189.99 12532.93 
640.62 387.08 191.35 12626.13 
643.46 387.37 191.43 12685.6 
644.36 389.4 192.86 12741.05 
645.89 390.47 193.21 12756.46 
646.81 392.42 194.16 12813.51 
651.65 393.12 195.01 12843.17 
651.97 394.38 196.26 12927.11 
654.96 396.29 196.46 12961.25 
658.65 398.18 197.82 13032.26 
662.7 400.99 199.26 13096.38 
663.24 402.93 200.13 13171.35 
666.33 404.31 201.01 13261.43 
666.95 405.41 201.83 13274.1 
669.97 406.53 203.15 13324.57 
673.11 407.28 203.36 13416.94 
676.29 409.34 204.1 13484.4 
681.15 412.08 204.95 13520.11 
685.8 413.16 205.6 13598.88 
686.99 413.48 206.63 13672.24 
691.48 414.77 206.82 13766.54 
695.19 415.24 207.12 13851.67 
697.08 416.04 207.74 13919.9 
701.68 416.41 209.17 14000.85 
703.59 417.09 210.65 14090.73 
708.35 418.33 212.1 14185.2 
710.34 418.67 213.07 14224.74 
713.43 420.24 213.46 14255.9 
717.15 421.77 214.84 14304.27 
718.1 423.46 215.37 14398.18 
723.0 424.53 216.21 14421.49 
727.96 426.38 216.91 14444.65 
731.42 428.6 218.0 14531.66 
736.19 431.26 218.85 14533.28 
740.01 432.94 219.15 14590.39 
741.58 433.59 219.32 14683.88 
746.26 435.27 219.41 14697.56 
750.85 435.81 220.55 14722.27 
754.69 437.43 220.96 14730.23 
755.23 440.09 221.09 14799.34 
755.49 441.95 222.24 14818.28 
755.75 441.99 222.87 14823.36 
759.45 443.99 223.97 14913.65 
761.34 446.0 224.53 14925.83 
763.04 447.66 224.58 14983.28 
