-5	5
1	-2
-1	-2
-10	-1
4	9
0	1
3	3
1	2
-9	-7
-3	3
0	-3
4	-10
3	5
3	9
-3	-3
6	-8
-10	6
1	0
0	3
-1	-2
8	4
-4	-8
-2	7
-7	-1
-4	2
-7	-8
6	-1
-9	10
9	-7
3	-8
-5	-4
10	8
9	10
-9	3
-4	10
-1	-6
-1	-7
1	-4
5	-2
-5	-4
2	-9
0	0
-2	-6
8	-3
-8	3
0	-9
-1	3
9	3
8	-9
-10	9
6	1
10	2
10	9
-1	3
-10	6
-7	10
-7	10
10	6
-4	4
-1	-9
-5	2
6	5
-7	-9
-8	-7
-8	-10
-1	9
-6	-10
-5	9
10	0
3	3
0	-2
-3	-4
-10	-10
6	0
6	2
-8	9
1	2
-7	-3
6	-4
2	-7
8	-4
3	-1
9	0
-4	-1
4	-5
-8	-4
-2	3
0	10
-4	3
1	-9
-6	8
7	3
2	-2
1	6
-7	7
0	-7
-6	6
3	1
3	-7
2	6
